,review,cleaned_review,polarity
3135,"At this budget ,it was killer , everything was good for me but faced some issues while switching  on the tv with the remote and without pressing any buttons it sometimes goes back to other interface",budget killer everything good faced issue switching tv remote without pressing button sometimes go back interface,0.19999999999999998
3136,"The media could not be loaded.
                




   OnePlus rocks, love this product.",medium could loaded oneplus rock love product,0.5
3137,"Product is good, feel some little blur in voice. If you budget is below 15k go for it.If can go for 22k than go for MI 43 inch",product good feel little blur voice budget 15k go itif go 22k go mi 43 inch,0.25625
3138,Plz don't buy this product. My tv didnt work after one year. They didn't solve my service request till now.,plz dont buy product tv didnt work one year didnt solve service request till,0.0
3139,"The media could not be loaded.
                




   Nope. Not good to use and connect with laptop",medium could loaded nope good use connect laptop,0.7
3140,"Bad built quality and services. The service is horrible, they don’t have pick up receipt message for picking up the damaged tv and no track record of the replacement tv.",bad built quality service service horrible dont pick receipt message picking damaged tv track record replacement tv,-0.8499999999999999
3141,"The media could not be loaded.
                




   Great service by Amazon and Tv installation person digambar , loved his service .Well One plus can never disappoint you , One plus android LED is everything you need  ! Go for it guys ..is all worth it !",medium could loaded great service amazon tv installation person digambar loved service well one plus never disappoint one plus android led everything need go guy worth,0.6
3142,AwesomeI got this my affordable price due to offersThank you sooo muchIts picture quality is too goodAnd voice recognition is also very goodAnd it's very to operate remote..Satisfied ✌🏻✌🏻,awesomei got affordable price due offersthank sooo muchits picture quality goodand voice recognition also goodand operate remotesatisfied,-0.125
3143,Tv  is good but  wallmount stand  and. After saleservice  very badNot give proper demo for product and stand  quality c class very difficult to connect any attachments.,tv good wallmount stand saleservice badnot give proper demo product stand quality c class difficult connect attachment,0.06666666666666665
3144,Great picture Quality with Good Sound and most satisfying thing is Oneplus Connect App such Great exeperiece of using this lovely. Remote is also very easy and reliable. I think without thinking too much we should go for this tv. Price is also reasonble,great picture quality good sound satisfying thing oneplus connect app great exeperiece using lovely remote also easy reliable think without thinking much go tv price also reasonble,0.4703703703703704
3145,"I like the voice of this tv , amazing voice , everything is ok on this tv , if your budget is under 19000 , this tv is amazing. I buy it under 18000 ruppee. 👍",like voice tv amazing voice everything ok tv budget 19000 tv amazing buy 18000 ruppee,0.5666666666666668
3146,Awsome.. Oneplus's quality is awsome.. Thanks amazon for timely delivery and installation,awsome onepluss quality awsome thanks amazon timely delivery installation,0.2
3147,The product is defective not workingI think they don’t want to stay in market for longer time don’t know why they are spoiling their name,product defective workingi think dont want stay market longer time dont know spoiling name,0.0
3148,""" picture quality "" side view is not good, there is a brown shade or glare like a LCD screen. not happy with picture quality",picture quality side view good brown shade glare like lcd screen happy picture quality,0.75
3149,Nice product with awesome features but lacking in basic things,nice product awesome feature lacking basic thing,0.5333333333333333
3150,One plus tv Installation person not coming.amazon customer service not good,one plus tv installation person comingamazon customer service good,0.7
3151,It's amazing guys..Its worth for 23 k..Honestly telling today i have installed this 43 inch tv..I WAS WORRIED BEFORE ABOUT NEGATIVE Reviews..but the satisfied me completly..Go head guys for 43inch...,amazing guysits worth 23 khonestly telling today installed 43 inch tvi worried negative reviewsbut satisfied completlygo head guy 43inch,0.275
3152,The installation service is such an irresponsible team.. Even though we've called them for 100s of time.. No regular service given.. I didn't expect such worst customer service by any of the other apps.. I'm going to complain to authority. What's the,installation service irresponsible team even though weve called 100 time regular service given didnt expect worst customer service apps im going complain authority whats,-0.5
3153,Looks good. Decent picture quality. Android tv is itself good enough.Cons: Data saver mode absent. Noticeable lag in operation. Ok sound. Flashy blue screen skipped my heart beat couple of times.,look good decent picture quality android tv good enoughcons data saver mode absent noticeable lag operation ok sound flashy blue screen skipped heart beat couple time,0.2809523809523809
3154,Netflix and prime doesnt work. TV hangs way too much. Remote is loo slow. Avoid buying OnePlus TV,netflix prime doesnt work tv hang way much remote loo slow avoid buying oneplus tv,-0.2
3155,The only problem i see is that there is a white patch whenever i switch on the TV. I am not sure if this could make a bigger problem in future. But such problems on a new product is disheartening. Not expected this from one plus.,problem see white patch whenever switch tv sure could make bigger problem future problem new product disheartening expected one plus,0.0893939393939394
3156,Worst tv ever orderd.. doesn't work USB service people don't aware what they doing .. don't have any technical knowledge ..Issue still remains,worst tv ever orderd doesnt work usb service people dont aware dont technical knowledge issue still remains,-0.25
3157,Good for bedroom use.TV hangs often.Initiially faced tv restart issueBadd customer service.not suitable for Alexa.... application does not work on the tv although application is available.,good bedroom usetv hang ofteninitiially faced tv restart issuebadd customer servicenot suitable alexa application work tv although application available,0.5499999999999999
3158,"After installation remote not working ,and after remote problem screen problem as showing in pic attached, technician visit was today for 10am to 2pm but not visited till now ,amazon what is this your happiness policy ,not doing any work on time",installation remote working remote problem screen problem showing pic attached technician visit today 10am 2pm visited till amazon happiness policy work time,0.16666666666666666
